id,title,type,amount,date,category,account
1,Office Supplies,Expense,127.5,01-03-2025,Operations,Checking
2,Client Payment,Income,1500.0,01-05-2025,Sales,Savings
3,Utility Bill,Expense,210.75,01-10-2025,Operations,Credit Card
4,Software Subscription,Expense,49.99,01-15-2025,Technology,PayPal
5,Consulting Fee,Income,2000.0,01-20-2025,Services,Business Account
6,Employee Salary,Expense,3500.0,01-31-2025,Payroll,Checking
7,Marketing Campaign,Expense,500.0,02-01-2025,Marketing,Credit Card
8,Product Sale,Income,750.0,02-03-2025,Sales,PayPal
9,Equipment Rental,Expense,300.0,02-05-2025,Operations,Checking
10,Client Retainer,Income,3000.0,02-10-2025,Services,Business Account
11,Internet Service,Expense,89.99,02-15-2025,Technology,Credit Card
12,Office Rent,Expense,1200.0,02-20-2025,Operations,Checking
13,Training Workshop,Income,1500.0,02-25-2025,Services,PayPal
14,Printer Ink,Expense,75.5,03-01-2025,Operations,Credit Card
15,Website Hosting,Expense,120.0,03-05-2025,Technology,Business Account
16,Client Project,Income,5000.0,03-10-2025,Sales,Savings
17,Travel Expenses,Expense,450.0,03-15-2025,Operations,Credit Card
18,Advertising,Expense,300.0,03-20-2025,Marketing,Checking
19,Freelancer Payment,Expense,800.0,03-25-2025,Payroll,PayPal
20,Product Sale,Income,1200.0,03-31-2025,Sales,Business Account
21,Office Cleaning,Expense,150.0,04-01-2025,Operations,Checking
22,Software License,Expense,299.99,04-05-2025,Technology,Credit Card
23,Consulting Project,Income,4000.0,04-10-2025,Services,Savings
24,Phone Bill,Expense,80.0,04-15-2025,Operations,Checking
25,Employee Bonus,Expense,1000.0,04-20-2025,Payroll,Business Account
26,Workshop Materials,Expense,250.0,04-25-2025,Operations,Credit Card
27,Client Payment,Income,3500.0,04-30-2025,Sales,PayPal
28,Office Furniture,Expense,800.0,05-01-2025,Operations,Checking
29,Social Media Ads,Expense,200.0,05-05-2025,Marketing,Credit Card
30,Training Session,Income,1000.0,05-10-2025,Services,Business Account
31,Employee Salary,Expense,3500.0,05-15-2025,Payroll,Checking
32,Domain Renewal,Expense,15.99,05-20-2025,Technology,PayPal
33,Product Sale,Income,950.0,05-25-2025,Sales,Savings
34,Office Supplies,Expense,95.75,05-31-2025,Operations,Credit Card
35,Consulting Fee,Income,2500.0,06-01-2025,Services,Business Account
36,Equipment Purchase,Expense,1500.0,06-05-2025,Operations,Checking
37,Client Retainer,Income,2000.0,06-10-2025,Sales,PayPal
38,Utility Bill,Expense,225.5,06-15-2025,Operations,Credit Card
39,Software Upgrade,Expense,149.99,06-20-2025,Technology,Business Account
40,Workshop Income,Income,1800.0,06-25-2025,Services,Savings
41,Office Rent,Expense,1200.0,06-30-2025,Operations,Checking
42,Marketing Materials,Expense,350.0,07-01-2025,Marketing,Credit Card
43,Product Sale,Income,1100.0,07-05-2025,Sales,PayPal
44,Internet Service,Expense,89.99,07-10-2025,Technology,Checking
45,Client Project,Income,4500.0,07-15-2025,Services,Business Account
46,Travel Expenses,Expense,600.0,07-20-2025,Operations,Credit Card
47,Employee Salary,Expense,3500.0,07-25-2025,Payroll,Checking
48,Advertising,Expense,250.0,07-31-2025,Marketing,PayPal
49,Consulting Fee,Income,3000.0,08-01-2025,Services,Savings
50,Office Supplies,Expense,110.25,08-05-2025,Operations,Credit Card
51,Software Subscription,Expense,49.99,08-10-2025,Technology,Business Account
52,Product Sale,Income,800.0,08-15-2025,Sales,PayPal
53,Phone Bill,Expense,85.0,08-20-2025,Operations,Checking
54,Client Payment,Income,2800.0,08-25-2025,Sales,Savings
55,Equipment Maintenance,Expense,200.0,08-31-2025,Operations,Credit Card
56,Workshop Income,Income,1200.0,09-01-2025,Services,Business Account
57,Office Cleaning,Expense,150.0,09-05-2025,Operations,Checking
58,Social Media Ads,Expense,180.0,09-10-2025,Marketing,PayPal
59,Consulting Project,Income,3800.0,09-15-2025,Services,Savings
60,Employee Bonus,Expense,750.0,09-20-2025,Payroll,Checking
61,Website Maintenance,Expense,100.0,09-25-2025,Technology,Credit Card
62,Product Sale,Income,1300.0,09-30-2025,Sales,Business Account
63,Utility Bill,Expense,198.75,10-01-2025,Operations,Checking
64,Client Retainer,Income,2200.0,10-05-2025,Services,PayPal
65,Marketing Campaign,Expense,400.0,10-10-2025,Marketing,Credit Card
66,Employee Salary,Expense,3500.0,10-15-2025,Payroll,Business Account
67,Software License,Expense,299.99,10-20-2025,Technology,Checking
68,Product Sale,Income,1050.0,10-25-2025,Sales,Savings
69,Office Rent,Expense,1200.0,10-31-2025,Operations,Credit Card
70,Training Workshop,Income,1600.0,11-01-2025,Services,PayPal
71,Office Supplies,Expense,85.2,11-05-2025,Operations,Business Account
72,Client Project,Income,4200.0,11-10-2025,Sales,Checking
73,Travel Expenses,Expense,550.0,11-15-2025,Operations,Credit Card
74,Advertising,Expense,320.0,11-20-2025,Marketing,PayPal
75,Freelancer Payment,Expense,900.0,11-25-2025,Payroll,Savings
76,Product Sale,Income,1150.0,11-30-2025,Sales,Business Account
77,Office Cleaning,Expense,160.0,12-01-2025,Operations,Checking
78,Software Upgrade,Expense,159.99,12-05-2025,Technology,Credit Card
79,Consulting Fee,Income,2700.0,12-10-2025,Services,PayPal
80,Phone Bill,Expense,75.0,12-15-2025,Operations,Business Account
81,Employee Bonus,Expense,800.0,12-20-2025,Payroll,Checking
82,Workshop Materials,Expense,270.0,12-25-2025,Operations,Credit Card
83,Client Payment,Income,3600.0,12-31-2025,Sales,Savings
84,Office Furniture,Expense,750.0,01-02-2026,Operations,PayPal
85,Social Media Ads,Expense,190.0,01-07-2026,Marketing,Business Account
86,Training Session,Income,950.0,01-12-2026,Services,Checking
87,Employee Salary,Expense,3500.0,01-17-2026,Payroll,Credit Card
88,Domain Renewal,Expense,16.5,01-22-2026,Technology,Savings
89,Product Sale,Income,920.0,01-27-2026,Sales,PayPal
90,Office Supplies,Expense,92.5,02-01-2026,Operations,Business Account
91,Consulting Fee,Income,2400.0,02-06-2026,Services,Checking
92,Equipment Purchase,Expense,1450.0,02-11-2026,Operations,Credit Card
93,Client Retainer,Income,1900.0,02-16-2026,Sales,Savings
94,Utility Bill,Expense,220.0,02-21-2026,Operations,PayPal
95,Software Upgrade,Expense,145.0,02-26-2026,Technology,Business Account
96,Workshop Income,Income,1700.0,03-03-2026,Services,Checking
97,Office Rent,Expense,1200.0,03-08-2026,Operations,Credit Card
98,Marketing Materials,Expense,340.0,03-13-2026,Marketing,Savings
99,Product Sale,Income,1050.0,03-18-2026,Sales,PayPal
100,Internet Service,Expense,90.0,03-23-2026,Technology,Business Account
101,Client Project,Income,4400.0,03-28-2026,Services,Checking
102,Travel Expenses,Expense,580.0,04-02-2026,Operations,Credit Card
103,Employee Salary,Expense,3500.0,04-07-2026,Payroll,Savings
104,Advertising,Expense,240.0,04-12-2026,Marketing,PayPal
105,Consulting Fee,Income,2900.0,04-17-2026,Services,Business Account
106,Office Supplies,Expense,105.0,04-22-2026,Operations,Checking
107,Software Subscription,Expense,50.0,04-27-2026,Technology,Credit Card
108,Product Sale,Income,780.0,05-02-2026,Sales,Savings
109,Phone Bill,Expense,83.0,05-07-2026,Operations,PayPal
110,Client Payment,Income,2700.0,05-12-2026,Sales,Business Account
111,Equipment Maintenance,Expense,190.0,05-17-2026,Operations,Checking
112,Workshop Income,Income,1150.0,05-22-2026,Services,Credit Card
113,Office Cleaning,Expense,145.0,05-27-2026,Operations,Savings
114,Social Media Ads,Expense,170.0,06-01-2026,Marketing,PayPal
115,Consulting Project,Income,3700.0,06-06-2026,Services,Business Account
116,Employee Bonus,Expense,730.0,06-11-2026,Payroll,Checking
117,Website Maintenance,Expense,95.0,06-16-2026,Technology,Credit Card
118,Product Sale,Income,1250.0,06-21-2026,Sales,Savings
119,Utility Bill,Expense,195.0,06-26-2026,Operations,PayPal
120,Client Retainer,Income,2100.0,07-01-2026,Services,Business Account
121,Marketing Campaign,Expense,390.0,07-06-2026,Marketing,Checking
122,Employee Salary,Expense,3500.0,07-11-2026,Payroll,Credit Card
123,Software License,Expense,295.0,07-16-2026,Technology,Savings
124,Product Sale,Income,1020.0,07-21-2026,Sales,PayPal
125,Office Rent,Expense,1200.0,07-26-2026,Operations,Business Account
126,Training Workshop,Income,1550.0,08-01-2026,Services,Checking
